fecha	hora	precio_md
2015-01-15	8	48.62
2015-01-15	9	57.59
2015-01-15	10	63.01
2015-01-15	11	64
2015-01-15	12	62.01
2015-01-15	13	54.87
2015-01-15	14	45.3
2015-01-15	15	41.35
2015-01-15	16	40.8
2015-01-15	17	45.03
2015-01-15	18	52.47
2015-01-15	19	61.69
2015-01-15	20	63.43
2015-01-15	21	62.01
2015-01-15	22	54.12
2015-01-15	23	42.35
2015-01-15	24	40.13
2015-01-16	1	36
2015-01-16	2	34
2015-01-16	3	33.04
2015-01-16	4	33.04
2015-01-16	5	33.73
2015-01-16	6	35
2015-01-16	7	40.69
2015-01-16	8	57.93
2015-01-16	9	64.89
2015-01-16	10	70.52
2015-01-16	11	71.25
2015-01-16	12	68.69
2015-01-16	13	62.56
2015-01-16	14	58.34
2015-01-16	15	48.84
2015-01-16	16	46.25
2015-01-16	17	54.02
2015-01-16	18	58.98
2015-01-16	19	63.52
2015-01-16	20	66.94
2015-01-16	21	64.89
2015-01-16	22	59.88
2015-01-16	23	55.02
2015-01-16	24	45.34
2015-01-17	1	36.54
2015-01-17	2	33.8
2015-01-17	3	33.04
2015-01-17	4	33.04
2015-01-17	5	33.04
2015-01-17	6	34
2015-01-17	7	36
2015-01-17	8	41.19
2015-01-17	9	48.2
2015-01-17	10	60.64
2015-01-17	11	64.88
2015-01-17	12	64.88
2015-01-17	13	62.5
2015-01-17	14	58.69
2015-01-17	15	47
2015-01-17	16	40.4
2015-01-17	17	39.84
2015-01-17	18	43.1
2015-01-17	19	56.68
2015-01-17	20	59.82
2015-01-17	21	57.59
2015-01-17	22	53.7
2015-01-17	23	42.25
2015-01-17	24	37.78
2015-01-18	1	36.24
2015-01-18	2	33.8
2015-01-18	3	28.75
2015-01-18	4	27.57
2015-01-18	5	25
2015-01-18	6	27.25
2015-01-18	7	28.79
2015-01-18	8	33.6
2015-01-18	9	34.9
2015-01-18	10	39.84
2015-01-18	11	43.97
2015-01-18	12	53.98
2015-01-18	13	50.1
2015-01-18	14	53.69
2015-01-18	15	52.8
2015-01-18	16	42.51
2015-01-18	17	42
2015-01-18	18	42.51
2015-01-18	19	55.57
2015-01-18	20	60.8
2015-01-18	21	59.82
2015-01-18	22	57.59
2015-01-18	23	53.69
2015-01-18	24	42.51
2015-01-19	1	38.24
2015-01-19	2	34.9
2015-01-19	3	33.04
2015-01-19	4	29.53
2015-01-19	5	28.07
2015-01-19	6	31.17
2015-01-19	7	39.2
2015-01-19	8	52.07
2015-01-19	9	56.49
2015-01-19	10	64.88
2015-01-19	11	65.02
