fecha	hora	prev_demanda
2015-01-30	8	32431
2015-01-30	9	35807
2015-01-30	10	36731
2015-01-30	11	37264
2015-01-30	12	36923
2015-01-30	13	36424
2015-01-30	14	36033
2015-01-30	15	34745
2015-01-30	16	34081
2015-01-30	17	33758
2015-01-30	18	33603
2015-01-30	19	34839
2015-01-30	20	36956
2015-01-30	21	36941
2015-01-30	22	36330
2015-01-30	23	34019
2015-01-30	24	31445
2015-01-31	1	28851
2015-01-31	2	26542
2015-01-31	3	24743
2015-01-31	4	23706
2015-01-31	5	23304
2015-01-31	6	23250
2015-01-31	7	23827
2015-01-31	8	25265
2015-01-31	9	26702
2015-01-31	10	29457
2015-01-31	11	31432
2015-01-31	12	31596
2015-01-31	13	31060
2015-01-31	14	30967
2015-01-31	15	30360
2015-01-31	16	29173
2015-01-31	17	28458
2015-01-31	18	28257
2015-01-31	19	30200
2015-01-31	20	32597
2015-01-31	21	33376
2015-01-31	22	33269
2015-01-31	23	31669
2015-01-31	24	29554
2015-02-01	1	27476
2015-02-01	2	25529
2015-02-01	3	23711
2015-02-01	4	22697
2015-02-01	5	22299
2015-02-01	6	22348
2015-02-01	7	22742
2015-02-01	8	23526
2015-02-01	9	24021
2015-02-01	10	25957
2015-02-01	11	28076
2015-02-01	12	29187
2015-02-01	13	29132
2015-02-01	14	29688
2015-02-01	15	29625
2015-02-01	16	28464
2015-02-01	17	27900
2015-02-01	18	28093
2015-02-01	19	30194
2015-02-01	20	32823
2015-02-01	21	34105
2015-02-01	22	34091
2015-02-01	23	32895
2015-02-01	24	30239
2015-02-02	1	27127
2015-02-02	2	24964
2015-02-02	3	23559
2015-02-02	4	23202
2015-02-02	5	23148
2015-02-02	6	23868
2015-02-02	7	26865
2015-02-02	8	31602
2015-02-02	9	35372
2015-02-02	10	36856
2015-02-02	11	38032
2015-02-02	12	37933
2015-02-02	13	37413
2015-02-02	14	37313
2015-02-02	15	36033
2015-02-02	16	35425
2015-02-02	17	35098
2015-02-02	18	35614
2015-02-02	19	36566
2015-02-02	20	38665
2015-02-02	21	39104
2015-02-02	22	38124
2015-02-02	23	35685
2015-02-02	24	32192
2015-02-03	1	29360
2015-02-03	2	27081
2015-02-03	3	25729
2015-02-03	4	25341
2015-02-03	5	25187
2015-02-03	6	25752
2015-02-03	7	27987
2015-02-03	8	32545
2015-02-03	9	36242
2015-02-03	10	37808
2015-02-03	11	38742
2015-02-03	12	38634
2015-02-03	13	38196
2015-02-03	14	38101
2015-02-03	15	36834
2015-02-03	16	36286
2015-02-03	17	35982
2015-02-03	18	36253
2015-02-03	19	37294
2015-02-03	20	39576
2015-02-03	21	39854
2015-02-03	22	38812
2015-02-03	23	36253
2015-02-03	24	32793
2015-02-04	1	29670
2015-02-04	2	27337
2015-02-04	3	26089
2015-02-04	4	25667
2015-02-04	5	25550
2015-02-04	6	26157
2015-02-04	7	28709
2015-02-04	8	33506
2015-02-04	9	36986
2015-02-04	10	38242
2015-02-04	11	39132
2015-02-04	12	39241
2015-02-04	13	38917
2015-02-04	14	39007
2015-02-04	15	37835
2015-02-04	16	37395
2015-02-04	17	37242
2015-02-04	18	37093
2015-02-04	19	38657
2015-02-04	20	40876
2015-02-04	21	40615
2015-02-04	22	39739
2015-02-04	23	36728
2015-02-04	24	33113
2015-02-05	1	30109
2015-02-05	2	27836
2015-02-05	3	26417
2015-02-05	4	25925
2015-02-05	5	25557
2015-02-05	6	26259
2015-02-05	7	28853
2015-02-05	8	33877
2015-02-05	9	37179
2015-02-05	10	38680
2015-02-05	11	39727
2015-02-05	12	39914
2015-02-05	13	39667
2015-02-05	14	39767
2015-02-05	15	38549
2015-02-05	16	38120
2015-02-05	17	38089
2015-02-05	18	38097
2015-02-05	19	39553
2015-02-05	20	41643
2015-02-05	21	41171
2015-02-05	22	40465
2015-02-05	23	37365
2015-02-05	24	33775
2015-02-06	1	30844
2015-02-06	2	28427
2015-02-06	3	26819
2015-02-06	4	26191
2015-02-06	5	26066
2015-02-06	6	26576
2015-02-06	7	29208
2015-02-06	8	34245
2015-02-06	9	37458
2015-02-06	10	39112
2015-02-06	11	39994
2015-02-06	12	40042
2015-02-06	13	39628
2015-02-06	14	39533
