fecha	hora	prev_eolica
2015-01-20	2	6264
2015-01-20	3	6224
2015-01-20	4	6247
2015-01-20	5	6096
2015-01-20	6	5873
2015-01-20	7	5727
2015-01-20	8	5509
2015-01-20	9	5255
2015-01-20	10	5080
2015-01-20	11	4840
2015-01-20	12	4673
2015-01-20	13	4477
2015-01-20	14	4552
2015-01-20	15	4769
2015-01-20	16	4850
2015-01-20	17	4666
2015-01-20	18	4379
2015-01-20	19	4090
2015-01-20	20	4104
2015-01-20	21	4315
2015-01-20	22	4544
2015-01-20	23	4765
2015-01-20	24	4901
2015-01-21	1	4640
2015-01-21	2	4820
2015-01-21	3	5151
2015-01-21	4	5627
2015-01-21	5	6023
2015-01-21	6	6383
2015-01-21	7	6796
2015-01-21	8	7234
2015-01-21	9	7546
2015-01-21	10	7813
2015-01-21	11	8397
2015-01-21	12	9017
2015-01-21	13	9606
2015-01-21	14	10227
2015-01-21	15	10837
2015-01-21	16	11384
2015-01-21	17	11375
2015-01-21	18	11296
2015-01-21	19	11210
2015-01-21	20	11258
2015-01-21	21	11347
2015-01-21	22	11467
2015-01-21	23	11568
2015-01-21	24	11600
2015-01-22	1	10589
2015-01-22	2	10687
2015-01-22	3	10587
2015-01-22	4	10664
2015-01-22	5	10527
2015-01-22	6	10496
2015-01-22	7	10463
2015-01-22	8	10458
2015-01-22	9	10422
2015-01-22	10	10192
2015-01-22	11	10337
2015-01-22	12	10555
2015-01-22	13	10878
2015-01-22	14	10815
2015-01-22	15	10603
2015-01-22	16	10272
2015-01-22	17	9947
2015-01-22	18	9511
2015-01-22	19	9096
2015-01-22	20	8884
2015-01-22	21	8767
2015-01-22	22	8715
2015-01-22	23	8746
2015-01-22	24	8692
2015-01-23	1	7914
2015-01-23	2	7936
2015-01-23	3	8079
2015-01-23	4	8273
2015-01-23	5	8439
2015-01-23	6	8603
2015-01-23	7	8682
2015-01-23	8	8643
2015-01-23	9	8590
2015-01-23	10	8511
2015-01-23	11	8522
2015-01-23	12	8643
2015-01-23	13	8909
2015-01-23	14	8963
2015-01-23	15	8948
2015-01-23	16	8991
2015-01-23	17	8815
2015-01-23	18	8993
2015-01-23	19	9106
2015-01-23	20	9011
2015-01-23	21	8933
2015-01-23	22	8906
2015-01-23	23	8871
2015-01-23	24	8735
2015-01-24	1	8010
2015-01-24	2	7839
2015-01-24	3	7670
2015-01-24	4	7543
2015-01-24	5	7508
2015-01-24	6	7546
2015-01-24	7	7536
2015-01-24	8	7506
2015-01-24	9	7449
2015-01-24	10	7373
2015-01-24	11	6876
2015-01-24	12	6588
2015-01-24	13	6382
2015-01-24	14	6380
2015-01-24	15	6416
2015-01-24	16	6426
2015-01-24	17	6895
2015-01-24	18	7376
2015-01-24	19	7829
2015-01-24	20	8107
2015-01-24	21	8379
2015-01-24	22	8478
2015-01-24	23	8710
2015-01-24	24	8884
2015-01-25	1	10434
2015-01-25	2	10323
2015-01-25	3	10219
2015-01-25	4	10137
2015-01-25	5	10101
2015-01-25	6	10037
2015-01-25	7	9975
2015-01-25	8	9888
2015-01-25	9	9787
2015-01-25	10	9621
2015-01-25	11	9262
2015-01-25	12	8891
2015-01-25	13	8478
2015-01-25	14	8257
2015-01-25	15	8159
2015-01-25	16	8126
2015-01-25	17	8255
2015-01-25	18	8371
2015-01-25	19	8496
2015-01-25	20	8500
2015-01-25	21	8508
2015-01-25	22	8491
2015-01-25	23	8474
2015-01-25	24	8438
2015-01-26	1	8783
2015-01-26	2	8492
2015-01-26	3	8193
2015-01-26	4	7847
2015-01-26	5	7528
2015-01-26	6	7319
2015-01-26	7	7142
2015-01-26	8	6905
2015-01-26	9	6714
2015-01-26	10	6516
2015-01-26	11	6186
2015-01-26	12	5876
2015-01-26	13	5581
2015-01-26	14	5425
2015-01-26	15	5381
2015-01-26	16	5402
2015-01-26	17	5556
2015-01-26	18	5747
2015-01-26	19	5830
2015-01-26	20	5858
2015-01-26	21	5932
2015-01-26	22	6000
2015-01-26	23	6064
2015-01-26	24	6073
2015-01-27	1	6438
2015-01-27	2	6376
2015-01-27	3	6444
2015-01-27	4	6293
2015-01-27	5	6318
2015-01-27	6	6324
2015-01-27	7	6349
2015-01-27	8	6376
2015-01-27	9	6390
2015-01-27	10	6426
2015-01-27	11	6683
2015-01-27	12	6920
2015-01-27	13	7213
2015-01-27	14	7791
2015-01-27	15	8251
2015-01-27	16	8520
2015-01-27	17	8725
2015-01-27	18	8922
2015-01-27	19	9077
2015-01-27	20	9128
2015-01-27	21	9179
2015-01-27	22	9227
2015-01-27	23	9256
2015-01-27	24	9243
2015-01-28	1	9554
2015-01-28	2	9120
2015-01-28	3	8602
2015-01-28	4	8096
2015-01-28	5	7585
2015-01-28	6	7161
2015-01-28	7	6821
2015-01-28	8	6576
2015-01-28	9	6364
2015-01-28	10	6159
2015-01-28	11	5970
2015-01-28	12	5825
2015-01-28	13	5710
2015-01-28	14	5645
2015-01-28	15	5825
2015-01-28	16	6085
2015-01-28	17	6159
2015-01-28	18	6122
2015-01-28	19	6228
2015-01-28	20	6593
2015-01-28	21	6830
2015-01-28	22	7071
2015-01-28	23	7275
2015-01-28	24	7562
2015-01-29	1	7902
2015-01-29	2	8157
2015-01-29	3	8448
2015-01-29	4	8862
2015-01-29	5	9331
2015-01-29	6	9763
2015-01-29	7	10177
2015-01-29	8	10694
2015-01-29	9	11212
2015-01-29	10	11838
2015-01-29	11	12419
2015-01-29	12	12922
2015-01-29	13	13473
2015-01-29	14	13918
2015-01-29	15	14411
2015-01-29	16	14806
2015-01-29	17	14950
2015-01-29	18	15232
2015-01-29	19	15243
2015-01-29	20	15511
2015-01-29	21	15715
2015-01-29	22	15653
2015-01-29	23	15522
2015-01-29	24	15392
2015-01-30	1	15113
2015-01-30	2	14921
2015-01-30	3	14763
2015-01-30	4	14609
2015-01-30	5	14657
2015-01-30	6	14541
2015-01-30	7	14258
2015-01-30	8	14313
2015-01-30	9	14334
2015-01-30	10	14342
2015-01-30	11	14308
2015-01-30	12	14252
2015-01-30	13	14194
2015-01-30	14	14356
2015-01-30	15	14560
2015-01-30	16	14581
2015-01-30	17	14369
2015-01-30	18	14243
2015-01-30	19	14120
2015-01-30	20	13967
2015-01-30	21	13904
2015-01-30	22	13878
2015-01-30	23	13760
2015-01-30	24	13756
2015-01-31	1	14722
2015-01-31	2	14663
2015-01-31	3	14527
2015-01-31	4	14473
2015-01-31	5	14487
2015-01-31	6	14696
2015-01-31	7	14685
2015-01-31	8	14732
2015-01-31	9	14774
2015-01-31	10	14753
2015-01-31	11	14709
2015-01-31	12	14791
2015-01-31	13	14899
2015-01-31	14	15139
2015-01-31	15	14896
2015-01-31	16	14948
2015-01-31	17	14755
2015-01-31	18	14673
2015-01-31	19	14353
2015-01-31	20	14414
2015-01-31	21	14393
2015-01-31	22	14257
2015-01-31	23	14302
2015-01-31	24	14182
2015-02-01	1	13507
2015-02-01	2	13349
2015-02-01	3	13163
2015-02-01	4	12982
2015-02-01	5	12827
2015-02-01	6	12651
2015-02-01	7	12468
2015-02-01	8	12272
2015-02-01	9	12090
2015-02-01	10	11834
2015-02-01	11	12162
2015-02-01	12	12592
2015-02-01	13	13084
2015-02-01	14	13240
2015-02-01	15	13374
2015-02-01	16	13428
2015-02-01	17	12917
2015-02-01	18	12282
2015-02-01	19	11639
2015-02-01	20	11461
2015-02-01	21	11326
2015-02-01	22	11245
2015-02-01	23	11112
2015-02-01	24	10993
2015-02-02	1	9371
2015-02-02	2	9278
2015-02-02	3	9179
2015-02-02	4	9055
2015-02-02	5	8965
2015-02-02	6	8912
2015-02-02	7	8854
2015-02-02	8	8851
2015-02-02	9	8890
2015-02-02	10	8726
2015-02-02	11	8986
2015-02-02	12	9377
2015-02-02	13	9763
2015-02-02	14	9890
2015-02-02	15	9972
2015-02-02	16	10059
2015-02-02	17	9648
2015-02-02	18	9188
2015-02-02	19	8708
2015-02-02	20	8835
2015-02-02	21	9015
2015-02-02	22	9194
2015-02-02	23	9385
2015-02-02	24	9610
2015-02-03	1	10275
2015-02-03	2	10672
2015-02-03	3	11155
2015-02-03	4	11556
2015-02-03	5	11587
2015-02-03	6	12160
2015-02-03	7	12078
2015-02-03	8	12092
2015-02-03	9	12106
2015-02-03	10	12055
2015-02-03	11	12269
2015-02-03	12	12566
2015-02-03	13	12863
2015-02-03	14	12560
2015-02-03	15	12370
2015-02-03	16	12041
2015-02-03	17	11425
2015-02-03	18	10713
2015-02-03	19	9965
2015-02-03	20	9771
2015-02-03	21	9818
2015-02-03	22	9786
2015-02-03	23	9753
2015-02-03	24	9757
2015-02-04	1	10080
2015-02-04	2	10437
2015-02-04	3	10652
2015-02-04	4	10759
2015-02-04	5	10877
2015-02-04	6	11115
2015-02-04	7	11196
2015-02-04	8	11111
2015-02-04	9	10834
2015-02-04	10	10688
2015-02-04	11	11020
2015-02-04	12	11734
2015-02-04	13	12439
2015-02-04	14	12766
2015-02-04	15	13023
2015-02-04	16	13119
2015-02-04	17	12997
2015-02-04	18	13022
2015-02-04	19	13248
2015-02-04	20	13177
2015-02-04	21	13201
2015-02-04	22	13073
2015-02-04	23	13026
2015-02-04	24	12890
2015-02-05	1	13517
2015-02-05	2	13512
2015-02-05	3	13307
2015-02-05	4	13009
2015-02-05	5	12738
2015-02-05	6	12233
2015-02-05	7	11739
2015-02-05	8	11880
2015-02-05	9	11695
2015-02-05	10	11300
2015-02-05	11	11776
2015-02-05	12	12063
2015-02-05	13	12267
2015-02-05	14	12451
2015-02-05	15	12600
2015-02-05	16	12825
2015-02-05	17	12813
2015-02-05	18	12549
2015-02-05	19	12183
2015-02-05	20	11883
2015-02-05	21	11724
2015-02-05	22	11487
2015-02-05	23	11190
2015-02-05	24	10834
2015-02-06	1	10791
2015-02-06	2	10580
2015-02-06	3	10420
2015-02-06	4	10154
2015-02-06	5	9891
2015-02-06	6	9726
2015-02-06	7	9645
2015-02-06	8	9548
2015-02-06	9	9516
2015-02-06	10	9547
2015-02-06	11	10064
2015-02-06	12	10701
2015-02-06	13	11519
2015-02-06	14	11973
2015-02-06	15	12030
2015-02-06	16	11760
2015-02-06	17	11213
2015-02-06	18	10538
2015-02-06	19	9787
2015-02-06	20	9406
2015-02-06	21	9254
2015-02-06	22	9057
2015-02-06	23	8699
2015-02-06	24	8366
2015-02-07	1	6454
2015-02-07	2	6268
2015-02-07	3	6120
2015-02-07	4	5994
2015-02-07	5	5972
2015-02-07	6	5878
2015-02-07	7	5798
2015-02-07	8	5615
2015-02-07	9	5403
2015-02-07	10	5221
2015-02-07	11	5164
2015-02-07	12	5166
2015-02-07	13	5157
2015-02-07	14	5006
2015-02-07	15	4818
2015-02-07	16	4591
2015-02-07	17	4698
2015-02-07	18	4801
2015-02-07	19	5011
2015-02-07	20	5134
2015-02-07	21	5329
2015-02-07	22	5491
2015-02-07	23	5644
2015-02-07	24	5710
2015-02-08	1	5594
2015-02-08	2	5640
2015-02-08	3	5892
2015-02-08	4	6045
2015-02-08	5	6223
2015-02-08	6	6394
2015-02-08	7	6637
2015-02-08	8	7094
2015-02-08	9	7437
2015-02-08	10	7838
2015-02-08	11	8271
2015-02-08	12	8686
2015-02-08	13	9073
2015-02-08	14	9542
2015-02-08	15	9948
2015-02-08	16	10264
2015-02-08	17	10596
2015-02-08	18	10922
2015-02-08	19	11184
2015-02-08	20	11354
2015-02-08	21	11422
2015-02-08	22	11454
2015-02-08	23	11490
2015-02-08	24	11341
2015-02-09	1	11075
2015-02-09	2	10712
2015-02-09	3	10508
2015-02-09	4	10291
2015-02-09	5	10111
2015-02-09	6	10030
2015-02-09	7	9699
2015-02-09	8	9457
2015-02-09	9	9321
2015-02-09	10	9122
2015-02-09	11	9004
2015-02-09	12	8964
2015-02-09	13	8928
2015-02-09	14	8732
2015-02-09	15	8542
2015-02-09	16	8298
2015-02-09	17	8115
2015-02-09	18	7909
2015-02-09	19	7664
2015-02-09	20	7456
2015-02-09	21	7263
2015-02-09	22	7062
2015-02-09	23	6823
2015-02-09	24	6593
2015-02-10	1	5471
2015-02-10	2	5174
2015-02-10	3	5121
2015-02-10	4	5058
2015-02-10	5	5003
2015-02-10	6	5010
2015-02-10	7	5112
2015-02-10	8	5136
2015-02-10	9	5106
2015-02-10	10	5086
2015-02-10	11	5028
2015-02-10	12	4963
2015-02-10	13	5047
2015-02-10	14	4970
2015-02-10	15	4866
2015-02-10	16	4857
2015-02-10	17	4861
2015-02-10	18	4916
2015-02-10	19	4805
2015-02-10	20	4880
2015-02-10	21	4950
2015-02-10	22	5051
2015-02-10	23	5254
2015-02-10	24	5279
2015-02-11	1	4775
2015-02-11	2	4579
2015-02-11	3	4383
2015-02-11	4	4203
2015-02-11	5	4006
2015-02-11	6	3801
2015-02-11	7	3571
2015-02-11	8	3570
2015-02-11	9	3556
2015-02-11	10	3515
2015-02-11	11	3405
2015-02-11	12	3398
2015-02-11	13	3426
2015-02-11	14	3382
2015-02-11	15	3188
2015-02-11	16	3118
2015-02-11	17	2874
2015-02-11	18	2802
2015-02-11	19	2715
2015-02-11	20	2646
2015-02-11	21	2546
2015-02-11	22	2447
2015-02-11	23	2550
2015-02-11	24	2469
2015-02-12	1	2391
2015-02-12	2	2274
2015-02-12	3	2130
2015-02-12	4	2042
2015-02-12	5	1974
2015-02-12	6	1883
2015-02-12	7	1857
2015-02-12	8	2061
2015-02-12	9	2247
2015-02-12	10	2375
2015-02-12	11	2388
2015-02-12	12	2393
2015-02-12	13	2403
2015-02-12	14	2409
2015-02-12	15	2475
2015-02-12	16	2513
2015-02-12	17	2534
2015-02-12	18	2529
2015-02-12	19	2569
2015-02-12	20	2622
2015-02-12	21	2701
2015-02-12	22	2958
2015-02-12	23	3277
2015-02-12	24	3703
2015-02-13	1	3153
2015-02-13	2	3577
2015-02-13	3	3968
2015-02-13	4	4324
2015-02-13	5	4739
2015-02-13	6	5160
2015-02-13	7	5539
2015-02-13	8	5909
2015-02-13	9	6235
2015-02-13	10	6497
2015-02-13	11	6744
2015-02-13	12	7064
2015-02-13	13	7358
2015-02-13	14	7595
2015-02-13	15	7767
2015-02-13	16	7986
2015-02-13	17	7881
2015-02-13	18	7823
2015-02-13	19	7702
2015-02-13	20	7703
2015-02-13	21	7659
2015-02-13	22	7657
2015-02-13	23	8021
2015-02-13	24	8144
2015-02-14	1	8832
2015-02-14	2	8833
2015-02-14	3	8647
2015-02-14	4	8656
2015-02-14	5	8694
2015-02-14	6	8696
2015-02-14	7	8772
2015-02-14	8	9205
2015-02-14	9	9678
2015-02-14	10	9876
2015-02-14	11	10326
2015-02-14	12	10794
2015-02-14	13	11153
2015-02-14	14	11356
2015-02-14	15	11489
2015-02-14	16	11559
2015-02-14	17	11398
2015-02-14	18	11244
2015-02-14	19	11151
2015-02-14	20	11124
2015-02-14	21	11235
2015-02-14	22	11526
2015-02-14	23	11573
2015-02-14	24	11874
2015-02-15	1	12114
2015-02-15	2	11990
2015-02-15	3	11918
2015-02-15	4	11784
2015-02-15	5	11620
2015-02-15	6	11451
2015-02-15	7	11259
2015-02-15	8	11155
2015-02-15	9	11068
2015-02-15	10	11028
2015-02-15	11	11099
2015-02-15	12	11285
2015-02-15	13	11447
2015-02-15	14	11562
2015-02-15	15	11636
2015-02-15	16	11506
2015-02-15	17	11191
2015-02-15	18	10692
2015-02-15	19	10138
2015-02-15	20	9722
2015-02-15	21	9513
2015-02-15	22	9225
2015-02-15	23	8953
2015-02-15	24	8637
2015-02-16	1	7885
2015-02-16	2	7585
2015-02-16	3	7397
2015-02-16	4	7196
2015-02-16	5	7104
2015-02-16	6	7076
2015-02-16	7	6974
2015-02-16	8	6880
2015-02-16	9	6751
2015-02-16	10	6598
2015-02-16	11	6664
2015-02-16	12	6957
2015-02-16	13	7205
2015-02-16	14	7385
2015-02-16	15	7441
2015-02-16	16	7592
2015-02-16	17	7817
2015-02-16	18	8032
2015-02-16	19	8212
2015-02-16	20	8484
2015-02-16	21	8836
2015-02-16	22	9385
2015-02-16	23	9537
2015-02-16	24	9866
2015-02-17	1	8821
2015-02-17	2	9110
2015-02-17	3	9506
2015-02-17	4	10013
2015-02-17	5	10572
2015-02-17	6	10909
2015-02-17	7	11114
2015-02-17	8	11266
2015-02-17	9	11444
2015-02-17	10	11730
